# Quartus II Version 6.0 Build 202 06/20/2006 Service Pack 1 SJ Web Edition
# File: D:\usr\cpu\doc\cycore\cycore.csv
# Generated on: Tue Aug 08 14:58:19 2006

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

From,To,Assignment Name,Value,Enabled
,clk,Location,PIN_152,Yes
,fl_a[0],Location,PIN_47,Yes
,fl_a[10],Location,PIN_20,Yes
,fl_a[11],Location,PIN_14,Yes
,fl_a[12],Location,PIN_135,Yes
,fl_a[13],Location,PIN_156,Yes
,fl_a[14],Location,PIN_144,Yes
,fl_a[15],Location,PIN_137,Yes
,fl_a[16],Location,PIN_139,Yes
,fl_a[17],Location,PIN_143,Yes
,fl_a[18],Location,PIN_141,Yes
,fl_a[1],Location,PIN_48,Yes
,fl_a[2],Location,PIN_49,Yes
,fl_a[3],Location,PIN_50,Yes
,fl_a[4],Location,PIN_125,Yes
,fl_a[5],Location,PIN_127,Yes
,fl_a[6],Location,PIN_131,Yes
,fl_a[7],Location,PIN_133,Yes
,fl_a[8],Location,PIN_158,Yes
,fl_a[9],Location,PIN_16,Yes
,fl_d[0],Location,PIN_46,Yes
,fl_d[1],Location,PIN_45,Yes
,fl_d[2],Location,PIN_44,Yes
,fl_d[3],Location,PIN_165,Yes
,fl_d[4],Location,PIN_164,Yes
,fl_d[5],Location,PIN_17,Yes
,fl_d[6],Location,PIN_18,Yes
,fl_d[7],Location,PIN_19,Yes
,fl_ncs,Location,PIN_37,Yes
,fl_ncsb,Location,PIN_23,Yes
,fl_noe,Location,PIN_24,Yes
,fl_nwe,Location,PIN_15,Yes
,fl_rdy,Location,PIN_29,Yes
,freeio,Location,PIN_21,Yes
,io_b[10],Location,PIN_124,Yes
,io_b[1],Location,PIN_58,Yes
,io_b[2],Location,PIN_59,Yes
,io_b[3],Location,PIN_60,Yes
,io_b[4],Location,PIN_61,Yes
,io_b[5],Location,PIN_62,Yes
,io_b[6],Location,PIN_120,Yes
,io_b[7],Location,PIN_121,Yes
,io_b[8],Location,PIN_122,Yes
,io_b[9],Location,PIN_123,Yes
,io_l[10],Location,PIN_13,Yes
,io_l[11],Location,PIN_38,Yes
,io_l[12],Location,PIN_39,Yes
,io_l[13],Location,PIN_41,Yes
,io_l[14],Location,PIN_42,Yes
,io_l[15],Location,PIN_43,Yes
,io_l[16],Location,PIN_53,Yes
,io_l[17],Location,PIN_54,Yes
,io_l[18],Location,PIN_55,Yes
,io_l[19],Location,PIN_56,Yes
,io_l[1],Location,PIN_2,Yes
,io_l[20],Location,PIN_57,Yes
,io_l[2],Location,PIN_3,Yes
